x	t=0	t=50	t=100	t=150	t=200	t=250	t=300	t=350	t=400	t=438.4
0.5	1000	1930.76	2049.98	2082.13	2075.38	2120.22	2192.86	2229.78	2231.11	2230.42
1.5	1000	1930.23	2049.2	2081.27	2074.53	2119.29	2191.78	2228.62	2229.94	2229.26
2.5	1000	1929.17	2047.65	2079.55	2072.84	2117.44	2189.62	2226.31	2227.62	2226.93
3.5	1000	1927.58	2045.32	2076.98	2070.3	2114.67	2186.38	2222.84	2224.13	2223.45
4.5	1000	1925.46	2042.22	2073.55	2066.92	2110.97	2182.08	2218.22	2219.5	2218.81
5.5	1000	1922.81	2038.36	2069.28	2062.71	2106.36	2176.71	2212.47	2213.72	2213.04
6.5	1000	1919.63	2033.73	2064.16	2057.67	2100.85	2170.28	2205.59	2206.81	2206.13
7.5	1000	1915.92	2028.35	2058.21	2051.81	2094.45	2162.82	2197.6	2198.78	2198.1
8.5	1000	1911.68	2022.22	2051.45	2045.14	2087.15	2154.33	2188.51	2189.65	2188.97
9.5	1000	1906.91	2015.35	2043.87	2037.68	2078.99	2144.83	2178.34	2179.44	2178.75
10.5	1000	1901.61	2007.75	2035.49	2029.43	2069.96	2134.34	2167.11	2168.16	2167.48
11.5	1000	1895.78	1999.44	2026.33	2020.4	2060.09	2122.89	2154.85	2155.85	2155.17
12.5	1000	1889.43	1990.42	2016.4	2010.62	2049.4	2110.49	2141.59	2142.53	2141.85
13.5	1000	1882.54	1980.7	2005.72	2000.1	2037.9	2097.17	2127.35	2128.22	2127.55
14.5	1000	1875.14	1970.3	1994.31	1988.86	2025.61	2082.96	2112.17	2112.97	2112.3
15.5	1000	1867.2	1959.24	1982.18	1976.92	2012.56	2067.89	2096.08	2096.81	2096.14
16.5	1000	1858.74	1947.54	1969.37	1964.29	1998.77	2051.99	2079.12	2079.78	2079.11
17.5	1000	1849.77	1935.2	1955.88	1951	1984.26	2035.31	2061.33	2061.92	2061.25
18.5	1000	1840.27	1922.25	1941.75	1937.07	1969.06	2017.87	2042.75	2043.26	2042.6
19.5	1000	1830.25	1908.71	1927.01	1922.54	1953.21	1999.72	2023.44	2023.87	2023.2
20.5	1000	1819.73	1894.6	1911.66	1907.41	1936.72	1980.9	2003.42	2003.77	2003.11
21.5	1000	1808.69	1879.93	1895.75	1891.71	1919.63	1961.44	1982.77	1983.03	1982.38
22.5	1000	1797.15	1864.74	1879.3	1875.48	1901.98	1941.4	1961.51	1961.69	1961.04
23.5	1000	1785.11	1849.03	1862.34	1858.73	1883.78	1920.8	1939.7	1939.79	1939.15
24.5	1000	1772.58	1832.85	1844.89	1841.5	1865.08	1899.7	1917.38	1917.4	1916.76
25.5	1000	1759.56	1816.2	1826.98	1823.81	1845.9	1878.14	1894.61	1894.54	1893.91
26.5	1000	1746.07	1799.11	1808.65	1805.69	1826.28	1856.16	1871.44	1871.28	1870.65
27.5	1000	1732.11	1781.6	1789.92	1787.16	1806.25	1833.8	1847.9	1847.66	1847.04
28.5	1000	1717.69	1763.7	1770.82	1768.26	1785.84	1811.1	1824.04	1823.72	1823.1
29.5	1000	1702.82	1745.43	1751.37	1749	1765.09	1788.1	1799.9	1799.51	1798.9
30.5	1000	1687.51	1726.81	1731.61	1729.41	1744.01	1764.84	1775.53	1775.06	1774.45
31.5	1000	1671.79	1707.86	1711.55	1709.51	1722.65	1741.35	1750.96	1750.42	1749.82
32.5	1000	1655.65	1688.61	1691.23	1689.34	1701.03	1717.66	1726.23	1725.61	1725.02
33.5	1000	1639.13	1669.08	1670.67	1668.92	1679.18	1693.82	1701.38	1700.69	1700.1
34.5	1000	1622.23	1649.27	1649.89	1648.26	1657.12	1669.84	1676.43	1675.67	1675.09
35.5	1000	1604.97	1629.23	1628.92	1627.38	1634.88	1645.75	1651.41	1650.58	1650.02
36.5	1000	1587.38	1608.96	1607.77	1606.32	1612.49	1621.59	1626.35	1625.46	1624.9
37.5	1000	1569.46	1588.49	1586.47	1585.09	1589.96	1597.38	1601.28	1600.33	1599.78
38.5	1000	1551.26	1567.82	1565.03	1563.7	1567.33	1573.13	1576.21	1575.2	1574.67
39.5	1000	1532.77	1546.99	1543.48	1542.18	1544.6	1548.88	1551.18	1550.11	1549.58
40.5	1000	1514.03	1526.01	1521.83	1520.55	1521.8	1524.63	1526.19	1525.07	1524.55
41.5	1000	1495.06	1504.88	1500.09	1498.81	1498.94	1500.41	1501.26	1500.09	1499.58
42.5	1000	1475.87	1483.64	1478.29	1476.98	1476.05	1476.22	1476.41	1475.19	1474.7
43.5	1000	1456.49	1462.29	1456.43	1455.09	1453.14	1452.1	1451.65	1450.39	1449.91
44.5	1000	1436.92	1440.84	1434.53	1433.13	1430.21	1428.04	1427	1425.69	1425.22
45.5	1000	1417.2	1419.32	1412.6	1411.13	1407.3	1404.06	1402.46	1401.11	1400.65
46.5	1000	1397.34	1397.73	1390.65	1389.09	1384.4	1380.18	1378.04	1376.65	1376.21
47.5	1000	1377.35	1376.08	1368.69	1367.03	1361.53	1356.39	1353.76	1352.33	1351.9
