Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],14,,
Maximum concentration in negative electrode [mol.m-3],31920,,
Measured negative electrode diffusivity [m2.s-1],[data]measured_graphite_diffusivity_Ecker2015,,
Negative electrode diffusivity [m2.s-1],[function]graphite_diffusivity_Ecker2015,,
Negative electrode OCP [V],[data]graphite_ocp_Ecker2015,,
,,,
# Microstructure,,,
Negative electrode porosity,0.329,,
Negative electrode active material volume fraction, 0.4, (1-eps_n) * (1- inactive),
Negative particle radius [m],1.37E-05,,
Negative particle distribution in x,1,,
Negative electrode surface area density [m-1],81548,,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Ecker paper uses tortuosity measurment instead,
Negative electrode Bruggeman coefficient (electrode),1.5,Ecker paper uses tortuosity measurment instead,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Negative electrode reference exchange-current density [A.m-2(m3.mol-1)1.5],2.79E-6,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.489,,
Negative electrode double-layer capacity [F.m-2],0.2,,
,,,
# Thermal parameters,,,
Negative electrode OCP entropic change [V.K-1],0,,
,,,
# Activation energies,,,
Reference temperature [K],296.15,23C,
Negative electrode reaction rate,[function]graphite_electrolyte_reaction_rate_Ecker2015,,
Negative reaction rate activation energy [J.mol-1],53400,,
Negative solid diffusion activation energy [J.mol-1],3.03E+04,,
