Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],68.1,,
Maximum concentration in positive electrode [mol.m-3],48580,,
Positive electrode diffusivity [m2.s-1],[data]nco_diffusivity_Ecker2015,,
Positive electrode OCP [V],[data]nco_ocp_Ecker2015,,
,,,
# Microstructure,,,
Positive electrode porosity,0.296,,
Positive particle radius [m],1E-05,,
Positive particle distribution in x,1,,
Positive electrode surface area density [m-1],188455,,
Positive electrode Bruggeman coefficient (electrolyte),1.5,Ecker paper uses tortuosity measurment instead,
Positive electrode Bruggeman coefficient (electrode),1.5, Ecker paper uses tortuosity measurment instead,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Positive electrode reference exchange-current density [A.m-2.(m3.mol-1)1.5],5.81E-6,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.527,,
Positive electrode double-layer capacity [F.m-2],N/A,,
,,,
# Density,,,
Positive electrode density [kg.m-3],N/A,,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],N/A,,
Positive electrode thermal conductivity [W.m-1.K-1],N/A,,
Positive electrode OCP entropic change [V.K-1],N/A,,
,,,
# Activation energies,,,
Reference temperature [K],296.15,25C,
Positive electrode reaction rate,[function]nco_electrolyte_reaction_rate_Ecker2015,,
Positive reaction rate activation energy [J.mol-1],4.36E+04,,
Positive solid diffusion activation energy [J.mol-1],8.06E+04,,
